il_kod,ilce,lat,lon
1,ALADAĞ(KARSANTI),37.54637900,35.40296200
1,CEYHAN,37.03170000,35.82275000
1,ÇUKUROVA,37.00000000,35.32133330
1,FEKE,37.81991810,35.91248350
1,İMAMOĞLU,37.25875100,35.67284000
1,KARAİSALI,37.25201000,35.06329000
1,KARATAŞ,36.56337600,35.38438800
1,KOZAN,37.45000000,35.80000000
1,POZANTI,37.42777780,34.87111110
1,SAİMBEYLİ,37.98818270,36.09205840
1,SARIÇAM,37.00000000,35.32133330
1,SEYHAN,37.00000000,35.32133330
1,TUFANBEYLİ,38.26464170,36.22239850
1,YUMURTALIK,36.76666670,35.78333330
1,YÜREĞİR,37.00000000,35.32133330
2,ADIYAMAN,37.76416670,38.27616670
2,BESNİ,37.69294330,37.85918950
2,ÇELİKHAN,38.03333330,38.25000000
2,GERGER,38.02888890,39.03222220
2,GÖLBAŞI,37.78388890,37.64444440
2,KAHTA,37.78333330,38.61666670
2,SAMSAT,37.57928870,38.48236400
2,SİNCİK,38.03805560,38.61583330
2,TUT,37.79666670,37.91500000
3,AFYON,38.76376000,30.54034000
3,BAŞMAKÇI,37.89596750,30.01162710
3,BAYAT,38.98708000,30.91984900
3,BOLVADİN,38.71666670,31.05000000
3,ÇAY,38.59319330,31.02490930
3,ÇOBANLAR,38.70000000,30.78333300
3,DAZKIRI,37.91666670,29.86666670
3,DİNAR,38.06666670,30.16666670
3,EMİRDAĞ,39.02603900,31.15345000
3,EVCİLER,38.04308300,29.88309400
3,HOCALAR,38.58337000,29.97207100
3,İHSANİYE,39.03333330,30.41666670
3,İSCEHİSAR,38.86666670,30.75000000
3,KIZILÖREN,37.96290310,29.80194980
3,SANDIKLI,38.46538900,30.27024100
3,SİNCANLI(SİNANPAŞA),38.74379600,30.24406090
3,SULTANDAĞI,38.53333330,31.23333330
3,ŞUHUT,38.53333330,30.55000000
4,AĞRI,39.72166670,43.05666670
4,DİYADİN,39.54000000,43.67722220
4,DOĞUBAYAZIT(DOĞUBEYAZIT),39.54800000,44.08333300
4,ELEŞKİRT,39.79716100,42.68711100
4,HAMUR,39.61027780,42.99250000
4,PATNOS,39.23333330,42.86666670
4,TAŞLIÇAY,39.63438270,43.37676610
4,TUTAK,39.54222220,42.77166670
5,AMASYA,40.65000000,35.83333330
5,GÖYNÜCEK,40.39786900,35.52615000
5,GÜMÜŞHACIKÖY,40.87064000,35.21757900
5,HAMAMÖZÜ,40.78347000,35.02228900
5,MERZİFON,40.87485900,35.45974000
5,SULUOVA,40.83333330,35.65000000
5,TAŞOVA,40.76198730,36.32264710
6,AKYURT,40.13333330,33.08333330
6,ALTINDAĞ,39.92077000,32.85411000
6,AYAŞ,40.02175100,32.34095000
6,BALA,39.55388890,33.12111110
6,BEYPAZARI,40.16750000,31.92111110
6,ÇAMLIDERE,40.48735000,32.47269010
6,ÇANKAYA,39.84518420,32.92122650
6,ÇUBUK,40.23861110,33.03305560
6,ELMADAĞ,39.92083330,33.23083330
6,ETİMESGUT,39.94583330,32.66944440
6,EVREN,39.02905060,33.81042220
6,GÖLBAŞI,39.92077000,32.85411000
6,GÜDÜL,40.21111110,32.24277780
6,HAYMANA,39.43606900,32.49663900
6,KALECİK,40.09722220,33.40833330
6,KAZAN,40.23166670,32.68388890
6,KEÇİÖREN,40.02106230,32.83101500
